id,title,date,url
8357d9fe-41bf-4ae5-95d5-55b424cd7f19_1,Danjoutin | 4,20220526,https://media.radiofrance-podcast.net/podcast09/23135-26.05.2022-ITEMA_23038686-2022F4004S0146-22.mp3
0657f250-8d91-45fe-8b09-780352976669_1,Danjoutin | spécial jeunes,20220525,https://media.radiofrance-podcast.net/podcast09/23135-25.05.2022-ITEMA_23037475-2022F4004S0145-22.mp3
cefd9faa-0725-4cab-bd5d-889aea545ca2_1,Danjoutin | 2,20220524,https://media.radiofrance-podcast.net/podcast09/10206-24.05.2022-ITEMA_23036236-2022F4004S0144-22.mp3
eb9b02a3-44ff-4f5a-ad8b-1b85cd55aed9_1,Danjoutin | 1,20220523,https://media.radiofrance-podcast.net/podcast09/23135-23.05.2022-ITEMA_23035004-2022F4004S0143-22.mp3
368c1933-13ff-4488-afa0-b1feb7186354_1,Charenton-le-Pont | 5,20220520,https://rf.proxycast.org/c802a7b6-4b33-4d41-b5da-625763e8e5c1/23135-20.05.2022-ITEMA_23032538-2022F4004S0140-22.mp3
b5e76e77-b722-4e5a-ab49-109bbbc4508e_1,Charenton-le-Pont | 4,20220519,https://media.radiofrance-podcast.net/podcast09/10206-19.05.2022-ITEMA_23031261-2022F4004S0139-22.mp3
41426ab7-7147-4988-a8b2-76339a2673c1_1,Charenton-le-Pont | spécial jeunes,20220518,https://media.radiofrance-podcast.net/podcast09/10206-18.05.2022-ITEMA_23030006-2022F4004S0138-22.mp3
f2959c09-0b17-4315-a22b-eebbead2f673_1,Charenton-le-Pont | 2,20220517,https://media.radiofrance-podcast.net/podcast09/10206-17.05.2022-ITEMA_23028764-2022F4004S0137-22.mp3
e7e1113f-ef50-4bfb-be66-d6004334dd11_1,Charenton-le-Pont | 1,20220516,https://media.radiofrance-podcast.net/podcast09/10206-16.05.2022-ITEMA_23027507-2022F4004S0136-22.mp3
9acf3f91-13e2-4cf2-a4cd-1c7b946ded16_1,Essey-lès-Nancy | 5,20220513,https://rf.proxycast.org/2b7753ad-276b-4ab5-ad1a-4dad2401f27a/10206-13.05.2022-ITEMA_23025065-2022F4004S0133-22.mp3
91916f90-c40f-4298-bf28-7cadd1ba7623_1,Essey-lès-Nancy | 4,20220512,https://rf.proxycast.org/00f1d92c-7f83-488d-bf63-a93e34e921c2/10206-12.05.2022-ITEMA_23023775-2022F4004S0132-22.mp3
f0cc013d-d9c1-4570-ab3d-657422b776b0_1,Essey-lès-Nancy | spécial jeunes,20220511,https://media.radiofrance-podcast.net/podcast09/10206-11.05.2022-ITEMA_23022557-2022F4004S0131-22.mp3
828030e6-967a-4313-a33b-47910e989722_1,Essey-lès-Nancy | 2,20220510,https://rf.proxycast.org/294ae6a4-e95b-4012-8b9f-ba73765171b4/10206-10.05.2022-ITEMA_23021286-2022F4004S0130-22.mp3
8c4dcf68-d2cd-49c5-8513-8fd892d1bd60_1,Essey-lès-Nancy | 1,20220509,https://media.radiofrance-podcast.net/podcast09/10206-09.05.2022-ITEMA_23020044-2022F4004S0129-22.mp3
ebebbcb5-9473-426b-933a-ba2af7a596b5_1,Sainte-Marie-aux-Mines | 5,20220506,https://media.radiofrance-podcast.net/podcast09/10206-06.05.2022-ITEMA_23017656-2022F4004S0126-22.mp3
e3a30c13-4e5f-4741-ac4d-04e331ed7e0e_1,Sainte-Marie-aux-Mines | 4,20220505,https://rf.proxycast.org/02e03e60-42bd-4f0d-8db4-6e1fd65c391a/10206-05.05.2022-ITEMA_23016453-2022F4004S0125-22.mp3
e8334cc4-9f92-4ebb-b43f-6ef0a58b78d8_1,Sainte-Marie-aux-Mines | spécial jeunes,20220504,https://rf.proxycast.org/21dba8af-b399-4c4d-9904-64a965e4e1f0/10206-04.05.2022-ITEMA_23015272-2022F4004S0124-22.mp3
73e1702c-e8c8-4524-8d94-9a25e7467a09_1,Sainte-Marie-aux-Mines | 2,20220503,https://rf.proxycast.org/0d388151-1831-4dbd-b7b2-59d91ef6d360/10206-03.05.2022-ITEMA_23014051-2022F4004S0123-22.mp3
35d18e74-b01b-43e7-807d-90123fc2be89_1,Sainte-Marie-aux-Mines | 1,20220502,https://rf.proxycast.org/8d7e2a7f-142a-4b8a-8362-c5284f29995e/10206-02.05.2022-ITEMA_23012822-2022F4004S0122-22.mp3
c38e7a4a-757d-42de-a7f9-c8b9bff44bf7_1,Molsheim | 5,20220429,https://media.radiofrance-podcast.net/podcast09/10206-29.04.2022-ITEMA_23010380-2022F4004S0119-22.mp3
a16fe3e7-5d9f-448a-a0d7-4b10eb73a5bc_1,Molsheim | 4,20220428,https://media.radiofrance-podcast.net/podcast09/10206-28.04.2022-ITEMA_23009230-2022F4004S0118-22.mp3
4c53129b-887a-4d6b-9509-5943eaecda64_1,Molsheim | spécial jeunes,20220427,https://rf.proxycast.org/010f191d-ace3-4ad3-9564-c21d0764ad99/10206-27.04.2022-ITEMA_23008085-2022F4004S0117-22.mp3
b61ecd18-4f65-4624-bd79-a9ed1f82c03d_1,Molsheim | 2,20220426,https://rf.proxycast.org/1d632a1d-157b-4b5d-b01f-ea012abe602f/10206-26.04.2022-ITEMA_23006884-2022F4004S0116-22.mp3
f0623e89-3c94-4438-9296-fb9c21ce85e9_1,Molsheim | 1,20220425,https://media.radiofrance-podcast.net/podcast09/10206-25.04.2022-ITEMA_23005682-2022F4004S0115-22.mp3
7f821070-c152-48dd-afb9-a2df4b3f26c8_1,Damgan | 1,20220829,https://rf.proxycast.org/c6ccb213-ac30-4889-b5fb-ac670ce83b28/10206-29.08.2022-ITEMA_23115740-2022F4004S0241-22.mp3?project=0c2c3235-7f75-42ce-8bc0-03efb09037a7
14b081ad-6aeb-4bce-bdd5-099a71f78d77_1,Damgan | 2,20220830,https://rf.proxycast.org/49495a24-c6c3-4340-9a66-f78e15f391c3/10206-30.08.2022-ITEMA_23117189-2022F4004S0242-22.mp3?project=0c2c3235-7f75-42ce-8bc0-03efb09037a7
2c92d038-dfad-4ebb-ac74-ddb0dbabedc6_1,Damgan | spécial jeunes,20220831,https://rf.proxycast.org/fe56efc2-648b-480f-9aed-ad26e53e4f90/10206-31.08.2022-ITEMA_23118587-2022F4004S0243-22.mp3?project=0c2c3235-7f75-42ce-8bc0-03efb09037a7
